status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
62317591679_10155409674281680,"Japan's Shinzo Abe probably embraced Donald Trump faster, and with more warmth, than any other foreign leader. Now, he's having buyer's remorse. via POLITICO Magazine.",Trump's World-Leader Buddy Is Starting to Regret It,link,https://politi.co/2Gr4zxl,https://www.facebook.com/politico/posts/10155409674281680,2018-04-01 13:41:42,1217,90,175,711,9,62,406,23,6
62317591679_10155409559751680,"At a time when interracial couples were still very much taboo, Martin Luther King Jr. had an early relationship with a white woman. The experience reportedly left him with a ""broken heart"" that he never recovered from. via POLITICO Magazine","'We were madly, madly in love': The untold story of MLK's white girlfriend",link,https://politi.co/2pV14Ik,https://www.facebook.com/politico/posts/10155409559751680,2018-04-01 12:37:31,554,51,99,366,11,90,5,76,6
62317591679_10155409414871680,"""If Mr. Pruitt's going to go, it's because he should've never been there in the first place,"" former New Jersey Gov. Chris Christie said of EPA administrator Scott Pruitt.",'I don't know how you survive this one' Christie says of Pruitt,link,https://politi.co/2GLfFkc,https://www.facebook.com/politico/posts/10155409414871680,2018-04-01 11:36:06,2060,156,184,1619,13,83,318,4,23
62317591679_10155409242966680,"""NO MORE DACA DEAL!,"" President Donald Trump tweeted on Sunday.","Trump slams Mexico, current immigration laws",link,https://politi.co/2uFgFBC,https://www.facebook.com/politico/posts/10155409242966680,2018-04-01 10:30:07,1630,522,208,276,29,35,116,52,1122
62317591679_10155409143831680,"""It'd be the single worst decision the president could make,"" Sen. Lindsey Graham (R-S.C) said of the possibility that President Donald Trump will bring troops in Syria home. ""I've seen this movie before when Obama did the same thing in Iraq.""","Graham: Pulling out of Syria ""the single worst decision"" Trump could make",link,https://politi.co/2uEoNCf,https://www.facebook.com/politico/posts/10155409143831680,2018-04-01 09:40:21,489,262,174,351,5,44,59,11,19
62317591679_10155409016111680,"The new movie ""Chappaquiddick"" arrives in the midst of a mini-Kennedy revival, and threatens to skunk it up. Almost 50 years later, will the introduction of the tragic story to a new generation jeopardize the legacy of Ted Kennedy, the liberal lion?",'Chappaquiddick': The trial of Ted Kennedy,link,https://politi.co/2GsSw2C,https://www.facebook.com/politico/posts/10155409016111680,2018-04-01 08:24:16,300,169,69,199,5,28,9,48,11
62317591679_10155408899731680,"Opinion: ""Just as, today, it is adults who have exposed children to the dangers of mass school shootings, in the early 1950s it was adults who imposed a brutal race state on millions of black students. And the students, in their wisdom, were some of the first to fight back."" via POLITICO Magazine.",Why take student protests seriously? Look at Linda Brown.,link,https://politi.co/2GMxYp4,https://www.facebook.com/politico/posts/10155408899731680,2018-04-01 07:11:13,612,27,96,542,61,3,3,3,0
62317591679_10155408421096680,"Economists like to argue that everyone is a loser in a trade war, but President Donald Trump is chalking up some early victories.",Trump is winning the trade war — for now,link,https://politi.co/2IiojUj,https://www.facebook.com/politico/posts/10155408421096680,2018-03-31 23:30:02,214,74,52,113,9,8,51,2,31
62317591679_10155408319131680,The leaders of the last-ditch effort to stop Brexit are rallying their troops with an uncomfortable message — they've been fighting in the wrong place. via POLITICO Europe.,The master plan to stop Brexit,link,https://politi.co/2GnqppI,https://www.facebook.com/politico/posts/10155408319131680,2018-03-31 22:00:14,144,15,23,121,3,5,9,5,1
62317591679_10155408192871680,"""The idea that you're working under the Trump administration is just like you've been painted, that you've just stuck your foot in a cesspool.""",Federal workers spill on life in Trump's Washington,link,https://politi.co/2IjP6jk,https://www.facebook.com/politico/posts/10155408192871680,2018-03-31 20:30:04,285,23,39,166,0,11,34,65,9
62317591679_10155408088606680,"Veteran GOP strategist Mike Murphy hints that Mitt Romney, who is currently running for the U.S. Senate in Utah, could be a possible primary challenger to President Donald Trump in 2020. via POLITICO Magazine.",How to primary Trump in 2020,link,https://politi.co/2GnscLf,https://www.facebook.com/politico/posts/10155408088606680,2018-03-31 19:13:45,408,80,23,295,27,9,73,2,2
62317591679_10155407970636680,"On Opening Weekend, here's a look back at presidents at the ballpark.",U.S. presidents at the ballpark,link,https://politi.co/2Gp7pqP,https://www.facebook.com/politico/posts/10155407970636680,2018-03-31 17:49:46,264,31,28,250,14,0,0,0,0
62317591679_10155407865481680,"Other women caught up in political sex scandals have knowingly consented to affairs with married politicians and admitted to those exploits. But Daniels is bullish in her public display of antagonism, seemingly because Trump's associates allegedly threatened her and her family to stay quiet. via POLITICO Magazine.",Why Stormy Daniels is different,link,https://politi.co/2J9oG55,https://www.facebook.com/politico/posts/10155407865481680,2018-03-31 16:25:25,412,99,55,350,29,5,25,2,1
62317591679_10155407757466680,The progressive wing has already beaten the establishment in 2018. via POLITICO Magazine.,How the Bernie Wing Won the Democratic Primaries,link,https://politi.co/2GmwcLW,https://www.facebook.com/politico/posts/10155407757466680,2018-03-31 15:14:26,350,75,56,275,38,3,22,3,9
62317591679_10155407594921680,"""It's not the way I'd do it,"" Sen. Ron Johnson (R-Wisc.) said of President Donald Trump's tweet about ousting Veterans Affairs Secretary David Shulkin.",GOP senator on Trump's ouster of Shulkin via Tweet: 'Not the way I'd do it',link,https://politi.co/2pYHQBY,https://www.facebook.com/politico/posts/10155407594921680,2018-03-31 13:40:02,153,75,11,92,0,4,37,5,15
62317591679_10155407385236680,"After years of progress, the Trump administration could make it harder for trans people to get health care—leaving many of them in limbo. via POLITICO Magazine.",'You're Never Comfortable',link,https://politi.co/2pSBhAw,https://www.facebook.com/politico/posts/10155407385236680,2018-03-31 11:54:58,148,25,17,27,0,2,5,18,96
62317591679_10155407212106680,"The White House could be in for some legal headaches, depending on how Veterans Affairs Secretary David Shulkin left his job.",Did Shulkin get fired or resign? This is why it matters,link,https://politi.co/2pTzafU,https://www.facebook.com/politico/posts/10155407212106680,2018-03-31 10:34:47,842,60,143,570,7,156,82,8,19
62317591679_10155407108881680,"President Donald Trump continued to needle Amazon on Saturday, claiming the internet commerce giant maintains an advantageous relationship with the U.S Postal Service amounting to a ""scam"" worth ""billions of dollars.""","Trump escalates attack on Amazon, demands Washington Post register as 'lobbyist'",link,https://politi.co/2J8mcUh,https://www.facebook.com/politico/posts/10155407108881680,2018-03-31 09:34:32,2242,919,480,337,21,75,721,38,1050
62317591679_10155406989396680,Many of President Donald Trump's critics fear he will start World War III. But he may bring good news for devotees of World War I.,How the Great War could reign on Trump's parade,link,https://politi.co/2pTk8Xw,https://www.facebook.com/politico/posts/10155406989396680,2018-03-31 08:23:35,277,66,50,189,1,5,8,11,63
62317591679_10155406898231680,"Opinion: As President Donald Trump taps the White House physician to head the Department of Veterans Affairs, a vast and sprawling bureaucracy, he might want to brush up on some recent Romanian history. via POLITICO Magazine",When our president put his doctor in charge of everything,link,https://politi.co/2pScDQw,https://www.facebook.com/politico/posts/10155406898231680,2018-03-31 07:19:22,567,49,162,324,3,25,26,44,145
62317591679_10155406669126680,Russian Embassy staff in London used the case of a British weapons inspector who killed himself in 2003 – after saying there were no weapons of mass destruction in Iraq – to insinuate that U.K. security services may have been involved in the poisoning of ex-spy Sergei Skripal and his daughter.,Russians bring up Iraq war conspiracy theories in spy poisoning case,link,https://politi.co/2pTkj5b,https://www.facebook.com/politico/posts/10155406669126680,2018-03-31 03:43:55,55,17,13,31,1,3,5,0,15
62317591679_10155406629931680,"The international response also shows Putin's credibility on the world stage is strained, no matter his popularity at home — where many voters expressed genuine support for him despite the suppression of any real competition in the election.","US, Europeans and allies kick out more than 100 Russian diplomats",link,https://politi.co/2Japerq,https://www.facebook.com/politico/posts/10155406629931680,2018-03-31 03:13:41,93,11,17,77,10,3,2,0,1
62317591679_10155406594096680,"President Donald Trump promised to build a ""big, beautiful"" wall, but a border official's description of the first major steps on the project framed it as more of a fixer-upper.",Trump administration reveals phase one of the border wall,link,https://politi.co/2pSOaLa,https://www.facebook.com/politico/posts/10155406594096680,2018-03-31 02:40:55,184,58,26,64,2,2,81,4,31
62317591679_10155406570886680,"""What Pruitt has going for him that Shulkin and a couple of the others did not is he is at one of the key positions for achieving Trump's agenda, and so far he's doing a great job,"" said Myron Ebell, the energy director at the Competitive Enterprise Institute and the head of Trump's EPA transition team.","Pruitt holding on, so far",link,https://politi.co/2pS7I28,https://www.facebook.com/politico/posts/10155406570886680,2018-03-31 02:08:25,89,30,8,15,0,1,4,1,68
